fecha,Id_almacen,operaciones_diarias,eficiencia_diaria,volumen_operado,movimientos_diarios,cantidad_movida,ratio_volumen_eficiencia,clasificacion_rendimiento
2024-01-01,1,67,98.35820883067686,848.2199981212616,0,0,84822,Rendimiento Estándar
2024-01-01,2,68,104.25000006661695,847.5700037479401,2,1026.2899703979492,1538.52,Rendimiento Estándar
2024-01-01,3,52,98.71153820019501,687.2300029993057,1,402.5199890136719,1452.3,Rendimiento Estándar
2024-01-01,4,65,100.06153867794919,836.109995663166,2,133.04000282287598,1230.48,Rendimiento Estándar
2024-01-01,5,51,96.76470557848612,636.6199948787689,2,1055.3200073242188,2031.33,Rendimiento Estándar
2024-01-02,1,73,97.05479520640962,1015.1399986743927,0,0,101514,Rendimiento Estándar
2024-01-02,2,60,94.8166670401891,761.3699953556061,2,1512.2100219726562,798.84,Rendimiento Estándar
2024-01-02,3,63,103.28571427436101,796.2399995923042,0,0,79624,Rendimiento Estándar
2024-01-02,4,71,99.76056394442706,916.1900006532669,1,263.92999267578125,99585.87,Rendimiento Estándar
2024-01-02,5,53,101.28301933126629,604.9700008034706,0,0,60497,Rendimiento Estándar
2024-01-03,1,63,96.84126982613216,916.1999953985214,0,0,91620,Rendimiento Estándar
2024-01-03,2,71,99.04225359500293,943.3899953365326,0,0,94339,Rendimiento Estándar
2024-01-03,3,70,101.22857136385781,894.5499962568283,1,136.0500030517578,2255.55,Rendimiento Estándar
2024-01-03,4,58,101.48275823428715,707.2099962234497,0,0,70721,Rendimiento Estándar
2024-01-03,5,64,100.93749947845936,896.0900043845177,1,887.719970703125,8493.74,Rendimiento Estándar
2024-01-04,1,55,99.50909072702582,620.8700017333031,1,2.7799999713897705,1868.96,Rendimiento Estándar
2024-01-04,2,69,88.94202881965084,856.6799964904785,0,0,85668,Rendimiento Estándar
2024-01-04,3,59,97.76271177550494,755.6999986767769,1,79.98999786376953,1746.07,Rendimiento Estándar
2024-01-04,4,64,96.93750031292439,778.8499957323074,0,0,77885,Rendimiento Estándar
2024-01-04,5,61,98.95081979329468,766.059999525547,0,0,76606,Rendimiento Estándar
2024-01-05,1,63,95.47619043834625,785.8000029921532,0,0,78580,Rendimiento Estándar
2024-01-05,2,51,96.84313687623715,608.5900025963783,0,0,60859,Rendimiento Estándar
2024-01-05,3,61,99.45901681165226,617.7800006866455,0,0,61778,Rendimiento Estándar
2024-01-05,4,62,103.54838717368342,817.5299978256226,1,347.32000732421875,5945.67,Rendimiento Estándar
2024-01-05,5,68,102.4117648601532,988.5300025939941,1,978.72998046875,27009.02,Rendimiento Estándar
2024-01-06,1,75,98.66666650772095,919.2700005173683,0,0,91927,Rendimiento Estándar
2024-01-06,2,63,103.87301558539981,779.6999952793121,2,583.9599990844727,1202.68,Rendimiento Estándar
2024-01-06,3,70,100.85714263575419,810.0000004768372,0,0,81000,Rendimiento Estándar
2024-01-06,4,68,99.13235245382084,812.1300030350685,1,939.3200073242188,2311.13,Rendimiento Estándar
2024-01-06,5,59,99.96610142416873,693.3499993681908,1,269.6300048828125,5692.53,Rendimiento Estándar
2024-01-07,1,60,100.98333289225896,791.2000008225441,0,0,79120,Rendimiento Estándar
2024-01-07,2,59,99.52542377730548,763.0400055646896,0,0,76304,Rendimiento Estándar
2024-01-07,3,70,98.7285714490073,987.3000021576881,0,0,98730,Rendimiento Estándar
2024-01-07,4,75,97.90666635831197,948.1599995493889,1,612.5700073242188,12761.24,Rendimiento Estándar
2024-01-07,5,66,100.69696984507821,760.0700008273125,2,907.3900146484375,1283.25,Rendimiento Estándar
2024-01-08,1,58,102.22413848186362,844.5399947762489,0,0,84454,Rendimiento Estándar
